::1 - - [22/Sep/2020:11:19:30 +0000] "GET /Users/vivek/Desktop/hms/views/book_app.html?id=+doctor._id HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:19:30 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/Users/vivek/Desktop/hms/views/book_app.html?id=+doctor._id" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:19:55 +0000] "GET /Users/vivek/Desktop/hms/views/book_app.html?id=+doctor._id HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:20:12 +0000] "GET /Users/vivek/Desktop/hms/views/book_app.html?id=+doctor._id HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:20:16 +0000] "GET /patients/show_doctors HTTP/1.1" 200 272 "http://localhost:4000/patients/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:20:16 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:20:17 +0000] "GET /patients/book_app.html?id=+5f697b92966d3ad65c902382 HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:20:17 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/book_app.html?id=+5f697b92966d3ad65c902382" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:20:30 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:20:30 +0000] "GET /patients/show_doctors HTTP/1.1" 200 271 "http://localhost:4000/patients/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
